	GM1	PN1	GM2	A1	A1	GM2	GM3	PN1	GM1	PN1	GM1	GM2	GM2	PN1	PN1	GM1	GM2	GM1	GM3	
169	 	2	 	4	5	 	7	8	 	 	 	 	 	14	 	 	 	 	19	
170	 	2	 	4	5	 	7	8	 	 	 	 	 	14	 	 	 	 	19	
171	 	2	 	4	5	 	7	8	 	 	 	 	 	14	 	 	 	 	19	
172	 	2	 	4	5	 	7	8	 	 	 	 	 	14	 	 	 	 	19	
173	 	2	 	4	5	 	7	8	 	 	 	 	 	14	 	 	 	 	19	
174	 	2	 	4	5	 	7	8	 	 	 	 	 	14	 	 	 	 	19	
175	 	2	 	4	5	 	7	8	 	 	 	 	 	14	 	 	 	 	19	
176	 	2	 	4	5	 	7	8	 	 	 	 	 	14	 	 	 	 	19	
177	 	2	 	4	5	 	7	8	 	 	 	 	 	14	 	 	 	 	19	
178	 	2	 	4	5	 	7	8	 	 	 	 	 	14	 	 	 	 	19	
179	 	2	 	4	5	 	7	8	 	 	 	 	 	14	 	 	 	 	19	
180	 	 	 	4	5	 	7	 	 	 	 	12	 	14	15	 	 	 	19	
181	 	 	 	4	5	 	7	 	 	 	 	12	 	14	15	 	 	 	19	
182	 	 	 	4	5	 	7	 	 	 	 	12	 	14	15	 	 	 	19	
183	 	 	 	4	5	 	7	 	 	 	 	12	 	14	15	 	 	 	19	
184	 	 	 	4	5	 	7	 	 	 	 	12	 	14	15	 	 	 	19	
185	 	 	 	4	5	 	7	 	 	 	 	12	 	14	15	 	 	 	19	
186	 	 	 	4	5	 	7	 	 	 	 	12	 	14	15	 	 	 	19	
187	 	 	 	4	5	 	7	 	 	 	 	12	 	14	15	 	 	 	19	
188	 	 	 	4	5	 	7	 	 	 	 	12	 	14	15	 	 	 	19	
189	1	 	 	 	 	 	7	8	 	10	 	12	 	 	15	 	 	 	19	
190	1	 	 	 	 	 	7	8	 	10	 	12	 	 	15	 	 	 	19	
191	1	 	 	 	 	 	7	8	 	10	 	12	 	 	15	 	 	 	19	
192	1	 	 	 	 	 	7	8	 	10	 	12	 	 	15	 	 	 	19	
193	1	 	 	 	 	 	7	8	 	10	 	12	 	 	15	 	 	 	19	
194	1	 	 	 	 	 	7	8	 	10	 	12	 	 	15	 	 	 	19	
195	1	 	 	 	 	 	7	8	 	10	 	12	 	 	15	 	 	 	19	
196	1	 	 	 	 	 	7	8	 	10	 	12	 	 	15	 	 	 	19	
197	1	 	 	 	 	 	7	8	 	10	 	12	 	 	15	 	 	 	19	
198	1	 	 	 	 	 	7	8	 	10	 	12	 	 	15	 	 	 	19	
199	1	 	 	 	 	 	7	8	 	10	 	12	 	 	15	 	 	 	19	
200	1	 	 	 	 	 	7	8	 	10	 	12	 	 	15	 	 	 	19	
201	1	 	 	 	 	 	7	8	 	10	 	12	 	 	15	 	 	 	19	
202	1	 	 	 	 	 	7	8	 	10	 	12	 	 	15	 	 	 	19	
203	1	 	 	 	 	 	7	8	 	10	 	12	 	 	15	 	 	 	19	
204	1	 	 	 	 	 	7	8	 	10	 	12	 	 	15	 	 	 	19	
205	1	 	 	 	 	 	7	8	 	10	 	12	 	 	15	 	 	 	19	
206	1	 	 	 	 	 	7	8	 	10	 	12	 	 	15	 	 	 	19	
207	1	2	 	 	 	 	7	8	 	 	 	12	 	 	15	 	 	 	19	
